chr1	71868625	72748417	NEGR1
chr1	107682629	108026080	NTNG1
chr1	86115106	86174116	ZNHIT6
chr10	89622870	89731687	PTEN
chr11	27676440	27743605	BDNF
chr11	71139239	71163914	DHCR7
chr11	71900602	71907345	FOLR1
chr11	126293254	126873355	KIRREL3
chr11	70313961	70963623	SHANK2
chr12	63539014	63544722	AVPR1A
chr12	2079952	2807115	CACNA1C
chr12	13714144	14133053	GRIN2B
chr12	112856155	112947717	PTPN11
chr12	23682440	24103966	SOX5
chr13	66876967	67804468	PCDH9
chr14	21853353	21924285	CHD8
chr14	29235050	29238870	FOXG1
chr15	26788693	27184686	GABRB3
chr15	25068794	25223870	SNRPN
chr15	25582381	25684128	UBE3A
chr16	89334038	89556969	ANKRD11
chr16	3775055	3930727	CREBBP
chr16	29916333	29938356	KCTD13
chr16	6069095	7763340	RBFOX1
chr16	2097466	2138716	TSC2
chr17	2496504	2588888	PAFAH1B1
chr17	17584787	17714767	RAI1
chr17	28521337	28562954	SLC6A4
chr17	1963133	2207065	SMG6
chr18	13218786	13652753	C18orf1
chr18	44526787	44628613	KATNAL2
chr18	52889562	53332018	TCF4
chr19	50364462	50370818	PNKP
chr19	32836514	32878572	ZNF507
chr2	124782864	125672864	CNTNAP5
chr2	115199876	116603328	DPP10
chr2	148778580	149275805	MBD5
chr2	50145643	51259674	NRXN1
chr2	200134223	200335989	SATB2
chr2	166845670	166930149	SCN1A
chr2	166095912	166248818	SCN2A
chr2	32288680	32382706	SPAST
chr2	145121063	145282147	ZEB2
chr2	185463093	185804219	ZNF804A
chr22	51113070	51171641	SHANK3
chr3	71003844	71633140	FOXP1
chr3	142984064	143567373	SLC9A9
chr4	46037786	46126098	GABRG1
chr5	136953189	137071779	KLHL3
chr5	88013975	88199922	MEF2C
chr5	36876861	37066515	NIPBL
chr5	176560026	176727216	NSD1
chr6	165740776	166075588	PDE10A
chr7	69063905	70258054	AUTS2
chr7	140424943	140624564	BRAF
chr7	145813453	148118090	CNTNAP2
chr7	111366168	111846466	DOCK4
chr7	113726382	114333827	FOXP2
chr7	27132612	27135615	HOXA1
chr7	110303110	111202573	IMMP2L
chr7	116312248	116438440	MET
chr7	94989256	95025680	PON3
chr7	103112231	103629963	RELN
chr7	116593292	116870157	ST7
chr8	61591337	61779465	CHD7
chr8	1449531	1656642	DLGAP2
chr8	99413631	99955055	STK3
chr8	100025494	100889808	VPS13B
chr9	140513444	140764468	EHMT1
chr9	80037995	80263223	GNA14
chr9	133884469	133969860	LAMC3
chr9	71320575	71624092	PIP5K1B
chr9	135766735	135820020	TSC1
chrX	15843929	15873054	AP1S2
chrX	25021811	25034065	ARX
chrX	76760378	77041702	ATRX
chrX	41374187	41782716	CASK
chrX	18443703	18671749	CDKL5
chrX	31132808	33357558	DMD
chrX	54471887	54522599	FGD1
chrX	146993469	147032645	FMR1
chrX	16141679	16171144	GRPR
chrX	133594183	133654543	HPRT1
chrX	53220503	53254604	KDM5C
chrX	153126969	153174677	L1CAM
chrX	70338406	70362303	MED12
chrX	10413350	10851773	MID1
chrX	17393543	17754114	NHS
chrX	70364681	70391051	NLGN3
chrX	5758678	6146904	NLGN4X
chrX	67262186	67653755	OPHN1
chrX	99546642	99665271	PCDH19
chrX	133507283	133562820	PHF6
chrX	48755195	48760420	PQBP1
chrX	23352133	23422489	PTCHD1
chrX	154487526	154493874	RAB39B
chrX	153618315	153637504	RPL10
chrX	135067598	135129423	SLC9A6
chrX	53401070	53449677	SMC1A
